"pkg"
aod
arules
arulesSequences
arulesViz
aster
aster2
audit
bdvis
bigdata
bigpca
bigrquery
bit64
BMA
C50
Cairo
cairoDevice
calibrate
caret
CCA
corrplot
countrycode
crayon
d3Network
dashboard
devtools
df2json
diagram
DMwR
doParallel
downloader
dplyr
DT
dtw
elasticnet
ElemStatLearn
Epi
epicalc
epinet
epiR
epitools
expsmooth
FactoMineR
Factoshiny
fastR
ff
ffbase
fma
forecast
fpc
fpp
gbm
gcookbook
gdalUtils
gdata
geometry
geonames
geoR
geoRglm
geotools
GeoXp
ggmap
ggplot2
ggsubplot
ggvis
GISTools
gplots
gputools
gridExtra
gtools
HMM
HSAUR2
htmlwidgets
httpRequest
httpuv
httr
igraph
iplots
ISLR
ISwR
kernlab
klaR
KMsurv
knitr
knncat
knnGarden
landsat
lattice
latticeExtra
leaflet
lda
lint
lintr
lme4
lubridate
mail
mailR
mapmisc
mapplots
mapproj
maps
mapStats
maptools
maptools
markovchain
MARSS
MASS
mboost
mcmc
mcmcplots
mice
microbenchmark
mlr
MTS
ncdf
networkD3
neural
neuralnet
NeuralNetTools
ngram
ngramr
OIdata
OIsurv
openintro
OpenMPController
OpenStreetMap
openxlsx
osmar
outliers
packrat
party
pca3d
pgmm
pixmap
playwith
plot3D
plot3Drgl
plotGoogleMaps
plotKML
pls
pROC
proj4
pscl
psych
pwr
queueing
r2lh
randomForest
rasclass
raster
rasterVis
rattle
Rcmdr
RCurl
R.devices
readxl
reshape2
Rfacebook
RGA
rgdal
rggobi
rgl
RGraphics
rite
rjson
rmarkdown
RMongo
RMySQL
RODBC
rpart
rpart.plot
RPostgreSQL
rpud
rPython
RSQLite
scatterplot3d
shape
shapefiles
shapes
shiny
shinydashboard
SnowballC
sp
spatial
spatial.tools
SpatialTools
SpatPCA
spatstat
spdep
sqldf
sqlutils
swirl
testthat
tidyr
tiff
timeline
translate
translateR
tseries
tsoutliers
twitteR
unbalanced
UsingR
vcd
vdmR
VGAM
webutils
webvis
wordcloud
xlsx
XML
XML2R
xtable
zoom
